Actual X,Actual Y,Actual Z,Actual surface normal X,Actual surface normal Y,mATERIALCONDITION mat
-4.39004,-43.78175,-5.00000,-0.09930,-0.99506,0.00156
-5.18710,-43.69490,-5.00000,-0.11680,-0.99316,0.00203
-5.99519,-43.59269,-5.00000,-0.13446,-0.99092,0.00334
-6.81383,-43.47365,-5.00000,-0.15347,-0.98815,0.00468
-7.61350,-43.34139,-5.00000,-0.17251,-0.98501,0.00523
-8.40825,-43.19548,-5.00000,-0.18898,-0.98198,0.00634
-9.22620,-43.02951,-5.00000,-0.20860,-0.97800,0.00751
-10.01547,-42.85333,-5.00000,-0.22686,-0.97393,0.00803
-10.82627,-42.65670,-5.00000,-0.24458,-0.96963,0.00891
-11.60630,-42.45231,-5.00000,-0.26252,-0.96493,0.01006
-12.38817,-42.23167,-5.00000,-0.28037,-0.95989,0.01097
-13.17788,-41.99315,-5.00000,-0.29800,-0.95457,0.01220
-13.95335,-41.74297,-5.00000,-0.31598,-0.94877,0.01333
-14.71604,-41.48118,-5.00000,-0.33327,-0.94283,0.01432
-15.48213,-41.20239,-5.00000,-0.35068,-0.93650,0.01535
-16.25241,-40.90563,-5.00000,-0.36828,-0.92972,0.01627
-17.02355,-40.59178,-5.00000,-0.38561,-0.92266,0.01721
-17.78393,-40.26562,-5.00000,-0.40283,-0.91528,0.01824
-18.51534,-39.93563,-5.00000,-0.41965,-0.90769,0.01912
-19.26382,-39.58098,-5.00000,-0.43663,-0.89964,0.01988
-19.98435,-39.22324,-5.00000,-0.45277,-0.89163,0.02077
-20.69474,-38.85429,-5.00000,-0.46906,-0.88317,0.02172
-21.42381,-38.45802,-5.00000,-0.48595,-0.87399,0.02245
-22.12436,-38.06009,-5.00000,-0.50174,-0.86502,0.02313
-22.82238,-37.64673,-5.00000,-0.51735,-0.85578,0.02412
-23.52232,-37.21464,-5.00000,-0.53324,-0.84596,0.02530
-24.21028,-36.77197,-5.00000,-0.54892,-0.83587,0.02645
-24.89153,-36.31543,-5.00000,-0.56447,-0.82545,0.02755
-25.55058,-35.85571,-5.00000,-0.57973,-0.81481,0.02844
-26.22079,-35.36912,-5.00000,-0.59513,-0.80363,0.02900
-26.86745,-34.88125,-5.00000,-0.60929,-0.79294,0.02969
-27.50120,-34.38508,-5.00000,-0.62373,-0.78164,0.03070
-28.12897,-33.87418,-5.00000,-0.63852,-0.76960,0.03121
-28.75574,-33.34444,-5.00000,-0.65230,-0.75796,0.03162
-29.36590,-32.80966,-5.00000,-0.66608,-0.74588,0.03246
-29.97644,-32.25363,-5.00000,-0.68044,-0.73281,0.03292
-30.57750,-31.68498,-5.00000,-0.69392,-0.72005,0.03319
-31.17591,-31.09735,-5.00000,-0.70737,-0.70684,0.03376
-31.76276,-30.49863,-5.00000,-0.72091,-0.69303,0.03433
-32.33603,-29.89080,-5.00000,-0.73388,-0.67928,0.03474
-32.87637,-29.29643,-5.00000,-0.74604,-0.66591,0.03535
-33.41497,-28.68151,-5.00000,-0.75841,-0.65177,0.03591
-33.93650,-28.06258,-5.00000,-0.77066,-0.63725,0.03590
-34.44509,-27.43616,-5.00000,-0.78212,-0.62313,0.03596
-34.94369,-26.79840,-5.00000,-0.79337,-0.60874,0.03595
-35.43484,-26.14600,-5.00000,-0.80445,-0.59402,0.03611
-35.91187,-25.48706,-5.00000,-0.81542,-0.57887,0.03611
-36.37208,-24.82644,-5.00000,-0.82560,-0.56426,0.03631
-36.82474,-24.15051,-5.00000,-0.83616,-0.54849,0.03654
-37.26840,-23.46012,-5.00000,-0.84624,-0.53280,0.03655
-37.69004,-22.77695,-5.00000,-0.85568,-0.51750,0.03680
-38.10384,-22.07812,-5.00000,-0.86518,-0.50145,0.03719
-38.50717,-21.36698,-5.00000,-0.87440,-0.48521,0.03757
-38.89221,-20.65783,-5.00000,-0.88317,-0.46906,0.03802
-39.26272,-19.94455,-5.00000,-0.89157,-0.45288,0.03849
-39.63505,-19.19432,-5.00000,-0.89984,-0.43621,0.03918
-39.98122,-18.46291,-5.00000,-0.90793,-0.41912,0.03990
-40.32069,-17.70800,-5.00000,-0.91590,-0.40142,0.03986
-40.64959,-16.93907,-5.00000,-0.92285,-0.38516,0.04015
-40.95214,-16.19471,-5.00000,-0.93002,-0.36751,0.04073
-41.23924,-15.44637,-5.00000,-0.93703,-0.34926,0.04000
-41.51855,-14.67751,-5.00000,-0.94279,-0.33338,0.03956
-41.78608,-13.89744,-5.00000,-0.94900,-0.31526,0.03948
-42.03602,-13.12084,-5.00000,-0.95473,-0.29747,0.03896
-42.26792,-12.35137,-5.00000,-0.96010,-0.27967,0.03815
-42.49319,-11.55109,-5.00000,-0.96500,-0.26226,0.03742
-42.69748,-10.77073,-5.00000,-0.96978,-0.24398,0.03685
-42.89289,-9.96113,-5.00000,-0.97423,-0.22558,0.03572
-43.07011,-9.16356,-5.00000,-0.97820,-0.20769,0.03502
-43.23290,-8.35855,-5.00000,-0.98196,-0.18911,0.03386
-43.38288,-7.53863,-5.00000,-0.98534,-0.17059,0.03283
-43.51326,-6.74079,-5.00000,-0.98837,-0.15208,0.03160
-43.62818,-5.94665,-5.00000,-0.99094,-0.13432,0.03044
-43.73112,-5.12991,-5.00000,-0.99327,-0.11582,0.02943
-43.81627,-4.33765,-5.00000,-0.99521,-0.09778,0.02862
-43.88865,-3.51956,-5.00000,-0.99691,-0.07855,0.02756
-43.94515,-2.71164,-5.00000,-0.99813,-0.06112,0.02680
-43.98783,-1.88781,-5.00000,-0.99911,-0.04210,0.02668
-44.01409,-1.08040,-5.00000,-0.99973,-0.02303,0.02628
